,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t)
26,0.06963442,0.061709236,0.049004298,0.08107908,0.100979,0.022274198,0.022055047,0.08149128,0.30700588,0.46478197,0.080209315
27,0.05249203,0.049964905,0.0027101333,0.07201993,0.120557874,0.030946562,0.024560573,0.11753054,0.2994484,0.4647516,0.07986596
28,0.0361292,0.03812767,0.10038612,0.029770067,0.25527963,0.01248068,0.0016647498,0.057114188,0.5713439,0.4991914,0.051994704
29,0.0774129,0.04738082,1.6304648e-06,0.06806695,0.18808897,0.091868825,0.11640915,0.094671965,0.33100623,0.57816195,0.08560377
30,0.049746916,0.043044608,0.069871575,0.05935026,0.17034665,0.0036420138,0.03231468,0.071211345,0.36458915,0.52464926,0.043597475
31,0.063999504,0.14790201,0.0058729327,0.12566696,0.13529855,0.03646788,0.099881604,0.08570532,0.3512263,0.54325736,0.14080566
32,0.055643864,0.10660183,0.008931016,0.0630882,0.16745071,0.013205359,0.013786361,0.11216381,0.34361705,0.61990404,0.07187169
33,0.07686721,0.17522259,0.025854848,0.03772288,0.14079373,0.016884806,0.035144515,0.086666554,0.41459677,0.7070253,0.038518116
34,0.046447802,0.106953196,0.037677273,0.06948307,0.14583492,0.012929278,0.021172881,0.0924765,0.43843046,0.61420035,0.06546772
35,0.025406089,0.07953376,0.12059959,0.056250833,0.20038493,0.018847652,0.024540745,0.16647682,0.43321118,0.59482783,0.074112386
36,0.02800994,0.049812913,0.007879713,0.1453205,0.2044453,0.086103305,0.09076317,0.08427186,0.4506969,0.61632353,0.0727606
37,0.020241389,0.037608076,0.0030283148,0.082160726,0.16430153,0.05662438,0.008071279,0.1636057,0.36311278,0.6219514,0.045694925
38,0.01859846,0.2071145,0.0137319565,0.03936417,0.12476806,0.013260872,0.025818141,0.065577485,0.40056527,0.60303575,0.023618316
39,0.013431127,0.11158712,0.0017924097,0.07465113,0.086578116,0.013826658,0.010978177,0.10672162,0.341546,0.5517945,0.02337008
40,0.016079564,0.22388515,0.013040795,0.037838757,0.18221615,0.0039046402,0.007804059,0.07967301,0.5427555,0.56734294,0.026601413
41,0.010443662,0.17894328,0.009530995,0.066996984,0.10910982,0.028114721,0.051864646,0.08402288,0.33795413,0.60681736,0.033638634
42,0.023325386,0.10664222,0.0067538396,0.06366526,0.08173437,0.014789544,0.0075033433,0.09170741,0.35200885,0.59259546,0.058595374
43,0.011881837,0.059890706,0.0370219,0.038052168,0.15685032,0.0034011803,0.07227862,0.06387903,0.36510107,0.5344226,0.0899109
44,0.006480947,0.035212547,0.038534563,0.11837496,0.13351855,0.02285815,0.018545814,0.20185456,0.37992865,0.59133697,0.07686153
45,0.016494568,0.0471589,0.08821698,0.041071203,0.12067312,0.054457262,0.02638092,0.16662064,0.4342878,0.61678565,0.07024612
46,0.008684525,0.03150966,0.019665593,0.09891634,0.13116544,0.062255144,0.05491714,0.07388411,0.43682146,0.640222,0.062469512
47,0.034557,0.018255092,4.4895318e-05,0.048883915,0.12973419,0.043273393,0.032621298,0.11045565,0.47037226,0.63088256,0.07825882
48,0.029462993,0.018968133,0.01945411,0.12573762,0.16309682,0.00012769607,0.01532221,0.05876444,0.37471643,0.67050624,0.049835447
49,0.037366256,0.035118543,0.038956948,0.014536853,0.12370207,0.009764543,0.01751846,0.12189989,0.3760387,0.58953506,0.030062888
50,0.019733718,0.027119746,0.0019771166,0.034761395,0.099146664,0.020010892,0.038830712,0.02857024,0.3840959,0.6019401,0.05093889
