,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t)
23,0.25780213,0.12379497,-0.035345286,0.05006644,0.17108919,0.11926615,0.1513984,-0.31274363,-0.037594423,0.083564475,0.0113665685,-0.10147901,0.09483853,0.071237214,-0.05474697,-0.05143265,0.070279494,0.13223284,-0.1383605,0.2662858,0.19740766
24,0.22320074,0.06199617,0.073090605,-0.12812342,-0.074205935,0.09478755,0.136813,-0.07286678,0.055926844,-0.16990897,-0.302138,-0.17730677,0.23033373,-0.30586848,-0.03283746,0.06573473,0.26138398,0.10886393,0.023442963,0.26041704,0.02092708
25,0.1370268,0.12473036,0.073348045,-0.087123334,-0.1541503,0.019158179,-0.27908698,0.44313145,-0.023954585,-0.22900116,-0.16803722,0.090417,0.013828855,-0.22409935,0.010593655,-0.34552485,0.19093503,-0.024329318,0.14703272,0.17449264,-0.079600595
26,-0.01565741,0.1315131,-0.079367496,0.09393595,-0.1459746,-0.0636176,-0.63056016,0.50891614,-0.0006083362,-0.095003106,0.10679796,0.09257863,0.0685291,-0.13877654,0.4347821,-0.16567332,-0.2317875,0.1693304,0.118410684,-0.4072471,0.05655481
27,0.013640087,0.32489523,0.008009975,0.27744246,0.083887815,-0.13899241,-0.13158144,-0.07516679,-0.023063246,-0.019012107,0.063044675,0.059975766,-0.15354364,0.03560571,0.4159021,-0.26847765,-0.098018,0.36786908,-0.1411197,-0.16985275,0.15676528
28,0.067200676,0.28556284,0.014325675,-0.069912896,-0.002456503,0.24185601,0.07990928,-0.28362527,-0.17823067,-0.050409928,-0.04910835,-0.32440686,-0.118032716,-0.20002006,0.1759946,0.1892874,0.39741635,0.07361302,0.17215845,-0.1038262,0.2685947
29,-0.07400299,0.20940612,0.16014884,-0.1795909,0.02108669,0.22618869,-0.008392917,0.1266756,-0.040053394,-0.101802334,0.10257607,0.13231523,-0.13719147,-0.25776148,-0.13072357,-0.04886117,0.1513268,-0.10632581,-0.041139938,0.11688998,-0.11749183
30,-0.17761308,0.16064607,-0.14143598,-0.07615107,0.18563455,0.078081034,-0.37406278,0.11003243,0.088527754,0.0023575195,0.12668593,0.35943747,0.023679668,-0.07831189,-0.06330414,0.20308541,-0.31229427,-0.16365838,0.04200888,-0.10728479,-0.048160303
31,-0.16887917,0.10592702,-0.10510108,0.1291036,0.21136856,-0.039940163,0.13233659,-0.116360545,0.117776394,0.16514972,0.20604633,0.26165324,0.026074192,0.19853015,-0.079910725,0.21767564,-0.18756899,0.21882862,-0.13118239,0.04775067,0.10008137
32,-0.075215794,0.018268656,-0.06275873,-0.07644412,0.17529018,0.12634851,0.34886122,-0.32664886,-0.02650465,0.039588366,0.060809325,-0.1785704,0.036934678,0.06940842,-0.24473372,0.33062002,0.26559293,-0.11491976,-0.0025630295,0.24040431,0.2282861
