,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t),x25(t)
25,-0.11604602,-0.0033033257,0.0569792,0.081493445,0.11446558,0.1322661,-0.110337004,0.21277602,0.08927695,-0.023932014,0.08934639,0.061247546,0.028242731,-0.10837987,0.20869467,-0.31160706,-0.054382205,-0.09544484,0.06202362,0.08536352,-0.04537612,0.16553967,-0.08232954,0.10375235,0.24443524,0.05661401
26,-0.040583026,-0.09793707,-0.12769407,-0.26159543,0.07011683,-0.028859252,-0.021001913,0.15571104,-0.17121422,0.046033014,0.15343365,0.10439841,0.0320733,-0.04043945,0.071527235,-0.12424019,-0.014697782,0.046032496,0.014278425,0.012109168,-0.1531818,0.1180537,0.019182045,0.08825588,0.008531038,-0.09411278
27,-0.020128224,0.017543608,-0.02208757,-0.15760744,-0.019945452,0.08142252,-0.07318182,0.10200199,-0.051029358,0.06636717,-0.22867075,0.057651952,-0.012731682,0.030573452,-0.08152388,0.20592287,0.16089873,-0.014854382,0.08639532,-0.044099595,-0.01521619,0.084125,0.009054749,0.11071413,0.046497352,0.05498667
28,-0.05127355,0.0818899,0.10230288,0.00818371,0.01675767,0.12959647,-0.12179402,0.14629963,0.10069525,0.018044163,-0.0487505,0.0012703221,0.038100727,-0.036564503,0.1340811,-0.10115027,-0.040273204,-0.088013686,0.08770159,0.079969294,0.049610738,0.12320246,-0.02496932,0.048948754,0.06600989,0.07503315
29,-0.048454452,-0.037069533,0.01069282,-0.0027379766,0.041633993,0.0026674268,-0.04918221,0.08047973,0.012311359,-0.04966645,0.14730918,0.05823353,0.04357761,-0.036490202,0.1465781,-0.18305783,-0.06411837,-0.01689346,0.0064111436,-0.0034465045,-0.0649266,0.122177035,-0.02414015,0.050276026,0.039312806,-0.0059885234
30,0.03041009,-0.041226912,-0.091532744,-0.056811098,-0.016726911,-0.06680099,-0.016459018,0.105584666,-0.10065969,0.06228242,0.022249872,0.07124584,0.07709547,0.025937425,-0.052050803,0.09852418,0.09099513,0.031922866,0.026402602,0.0048350934,-0.037506714,0.050767243,0.0065796403,0.026561078,0.01990384,-0.015487407
31,-0.023859728,0.056919184,0.037651706,-0.058559697,-0.0036225356,0.117855735,-0.057567958,0.054678362,0.060946662,0.079186335,-0.08059168,0.123085484,0.008314204,-0.01644476,-0.09059716,0.15087521,0.12433003,-0.023366239,0.034536466,0.006651264,-0.0042901123,0.063721605,-0.0074869045,0.18607037,0.0962463,0.15994155
32,-0.06823309,0.05521968,0.031121667,0.008935684,0.029273715,0.13381405,-0.114108145,0.2449593,0.18404675,-0.0018911231,0.117807105,-0.005189791,0.016100328,-0.060024045,0.14532088,-0.23108383,0.09713722,-0.048320513,-0.0029573338,0.056023587,0.030443136,0.0525236,-0.09404557,0.01691555,0.06854282,0.085806355
33,-0.05607452,-0.08710685,-0.091514006,-0.042197984,0.02776623,0.0052755764,-0.037400216,0.07465917,-0.034961402,0.049570985,0.13914143,0.048694182,-0.004891399,-0.07722384,0.06967899,-0.1856984,-0.022653334,0.06441367,0.008062936,-0.08560708,-0.09408662,0.13018072,0.040039584,0.09659087,-0.037444033,-0.08252103
34,-0.023062304,0.027189806,-0.018928522,-0.10227245,0.017453976,0.05245496,-0.03309419,0.116064705,-0.057597443,0.048200805,-0.039866827,0.027946498,0.013732861,0.006375233,-0.07730103,0.073473446,0.14327782,-0.01062613,-0.004253961,-0.017826919,-0.06353824,0.05951321,0.058697976,0.054661423,0.007626767,0.047473088
