,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t),x25(t),x26(t),x27(t),x28(t),x29(t),x30(t),x31(t),x32(t),x33(t),x34(t),x35(t),x36(t),x37(t)
10,0.02161072,0.110062614,0.104619905,0.016276905,-0.037246343,0.10730027,0.07780037,-0.050448254,0.108299434,0.003989357,-0.014537713,0.019703986,-0.059727002,0.093212076,0.036262743,0.02316016,-0.004665438,0.02605125,0.016179433,-0.11716309,0.06031006,-0.101082414,-0.01225756,-0.16256185,0.028337423,-0.031275634,0.02660869,-0.0030833352,-0.009443894,0.12422068,0.10424708,0.02534363,0.089662924,0.08158834,0.031162875,0.017204955,0.013686888,0.092917755
11,0.071397215,0.037395723,0.0011175955,0.10064509,-0.030115759,0.080804974,-0.028248055,0.024291994,0.02568857,0.040746093,0.06233862,-0.03318929,-0.034723356,-0.000961829,0.012467984,-0.08535198,-0.031633694,-0.013695113,0.055012964,-0.048747968,0.043190267,-0.024014533,-0.064107314,-0.16874893,0.017659582,-0.07120597,-0.016653044,0.089655034,0.05107473,0.09740532,0.03464999,0.0067249965,0.034817256,0.043159034,0.046228074,0.08340168,-0.029716026,0.085766956
12,0.061424214,0.04465983,0.0026474183,0.07698424,0.014245801,0.10178584,0.16625816,0.015785336,0.060961187,0.050207913,0.035625,0.03673792,-0.07686491,0.022682268,-0.087224096,-0.062408,0.047218133,0.055366315,0.04603681,-0.013757754,0.047040183,-0.04456994,-0.039136164,-0.077327654,0.12265442,-0.063668616,0.018605903,0.068821386,-0.05254721,0.006725673,-0.054193374,-0.038762454,0.021520324,0.013229238,0.066578016,0.07116078,0.04989156,-0.0025645746
13,0.019695394,0.028133946,0.00064301566,0.26650146,0.051154092,0.15093164,0.04564767,0.032364354,-0.0469492,0.055665802,0.01717828,-0.0511847,-0.007913258,-0.028776858,0.12885992,-0.049325757,0.037846036,-0.006422296,0.041541595,0.03372242,0.06355959,-0.089941345,0.018968089,-0.03838385,0.011700429,-0.0328193,0.10264133,0.11442307,-0.053596728,0.009857399,-0.012945481,-0.019133937,0.022786422,-0.015086846,0.024231173,0.066960655,-0.011986366,-0.026539436
14,0.023883447,-0.037804887,3.4615893e-11,0.07077643,-0.042829067,0.037181485,0.09242796,0.099841535,-0.03301836,0.009851073,-0.016355094,0.0024569537,0.004859738,-0.06858197,-0.016959064,-0.04370563,0.033466432,0.01274962,0.09820125,0.04437143,0.023112725,-0.0068200007,-0.0590158,0.06610678,0.069975294,-0.058562715,-0.0011115076,0.19299927,0.01600918,0.10490776,0.057392083,0.049758963,0.027859412,-6.141886e-05,0.034453716,0.17455192,9.475136e-05,-0.072964676
15,0.0046867435,0.04582814,0.045368902,0.0097811995,-0.004519368,-0.053014435,0.018665358,0.05638365,0.051386945,0.01341789,-0.010543485,0.003976449,0.050644517,0.04182653,0.07224577,-0.107910745,0.11188568,-0.076074705,-0.028048659,-0.01056397,0.040989768,0.020172011,0.07089329,-0.015408245,0.04545928,-0.02536099,0.03510225,-0.04719815,-0.058376133,-0.047318313,-0.007067237,0.016826946,-0.008381711,-0.04665505,0.047068574,0.04380579,0.03753482,0.054053716
16,0.02538498,0.07311715,0.00021878514,0.023290738,-0.012239313,0.066488676,0.12301623,0.021536637,0.025891792,0.0548184,0.005447558,0.019487,0.047115557,0.055043098,-0.031978704,0.07551442,0.033272766,0.058404382,-0.060189456,0.019866616,0.048995566,-0.03554589,-0.05517908,-0.112595275,0.09562915,0.08748285,0.06277153,0.19453838,0.082133286,0.055928126,-0.05501408,0.041797027,0.027241554,-0.016338333,0.020277413,-0.07894922,-0.044367086,-0.030412314
17,0.0017543506,0.053940058,0.022915376,0.002471242,0.011555838,-0.008684173,0.1175553,0.038488645,-0.032968886,0.035135806,-0.005179988,-0.01332311,0.07607637,-0.03151662,0.05442374,-0.027137212,0.1180059,-0.04399821,0.16210823,0.03772228,0.055888887,0.13684656,-0.004289859,0.0671923,0.031424053,-0.0863279,-0.018524174,0.02640694,0.0071826205,-0.044093646,0.057655353,-0.053171795,0.048096724,0.024842024,0.0046343105,0.058834895,0.0073777735,-0.01844597
18,0.05713168,0.040287916,0.004853756,-0.021122042,-0.01646404,0.0003248453,-0.026545692,-0.015786797,0.08775373,0.036541812,0.0057591293,-0.025339935,0.11795011,0.028836485,0.07224565,0.016735576,0.03636194,-0.00622702,-0.052898332,-0.018732723,0.031670824,-0.08368022,0.052118097,0.005321922,0.012486591,0.057300128,0.07109341,-0.024167184,-0.0033404958,-0.04717382,-0.0010720063,0.043201845,0.0016768575,0.03681185,0.026389692,-0.028777147,0.022358857,0.04352945
19,0.042043198,-0.021699004,0.027066799,-0.03710951,-0.020992864,0.026771652,0.032599457,-0.008207468,0.005737828,0.08003127,0.1022345,0.005747701,-0.026072156,-0.0051971916,-0.08281342,0.097286046,0.1530846,0.064796336,0.01866033,0.06181953,0.0321756,0.0071165245,-0.007487938,-0.048311107,-0.010103806,0.027745144,-0.016173344,0.085980505,0.04509291,0.022895027,0.0056347856,0.011082366,-0.0014202446,0.15504147,0.07703467,0.023832241,-0.006207712,0.025952699
