,x0(t),x1(t),x2(t)
121,0.013950932,0.06449598,0.033504672
122,0.0073926747,0.101349205,0.03769537
123,0.04919719,0.07876042,0.025362099
124,0.04057514,0.0793767,0.022448814
125,0.04260426,0.09082647,0.044012345
126,0.022990445,0.057760786,0.07781602
127,0.02804172,0.042476937,0.021193534
128,0.030352319,0.046025738,0.07191764
129,0.02046225,0.1221929,0.032010738
130,0.11033749,0.10499491,0.05018122
131,0.10034317,0.09365818,0.042091385
132,0.0683645,0.076075174,0.023843132
133,0.046576157,0.060399882,0.0327347
134,0.03141253,0.046574093,0.015917404
135,0.016631871,0.032812323,0.02097939
136,0.05330462,0.02345836,0.008323621
137,0.039546303,0.028445618,0.0073666694
138,0.042662203,0.038840536,0.14593545
139,0.030920919,0.05510493,0.034143444
140,0.029108917,0.035613175,0.0442331
141,0.043996226,0.031880043,0.05702627
142,0.1182205,0.027786436,0.008877906
143,0.09998521,0.16269286,0.016406309
144,0.21622542,0.12301083,0.07147961
145,0.14803763,0.16454569,0.034161393
146,0.07464258,0.13947587,0.043849383
147,0.069241576,0.13438067,0.040346805
148,0.0532537,0.10681166,0.041291337
149,0.047357272,0.07381098,0.028494354
150,0.03958107,0.14553906,0.018539982
151,0.03918267,0.08475987,0.063140005
152,0.02086635,0.0632227,0.030680388
153,0.06488563,0.06136269,0.10574737
154,0.03293818,0.16560629,0.017143637
155,0.03897626,0.09316723,0.045441806
156,0.087941125,0.06347705,0.041940182
157,0.08835973,0.064896874,0.1213097
158,0.050131552,0.058996055,0.08885097
159,0.10220966,0.051252615,0.014886259
160,0.052258026,0.051225603,0.020007737
161,0.07672508,0.04072656,0.066078246
162,0.039623506,0.04172655,0.026826363
163,0.020005686,0.25437403,0.018423118
164,0.063211724,0.13771176,0.15324846
165,0.053230472,0.084817305,0.03442794
166,0.05918335,0.05932921,0.021608027
167,0.03734821,0.10901329,0.015149966
168,0.06702128,0.10362707,0.06640431
169,0.04462109,0.068765044,0.027101357
170,0.025039796,0.09524458,0.017198928
171,0.06103123,0.056997027,0.024519028
172,0.031514604,0.047376283,0.029884826
173,0.05018732,0.040028334,0.013430605
174,0.031121807,0.04171238,0.011094166
175,0.03873231,0.028641738,0.027741596
176,0.094867185,0.041729417,0.075903855
177,0.052158456,0.11771912,0.010450087
178,0.031727992,0.07190524,0.0389795
179,0.021880079,0.051817082,0.018003363
180,0.012112169,0.060876273,0.017348254
181,0.057569522,0.048410125,0.017572986
182,0.02949046,0.061406054,0.050926715
183,0.041964684,0.039234467,0.015525709
184,0.028458614,0.032829057,0.012267416
185,0.033054113,0.02638029,0.013400302
186,0.016799165,0.025280394,0.13801101
187,0.05145015,0.0183446,0.0064965882
188,0.04917188,0.04444621,0.05656612
189,0.06200317,0.041605383,0.011413967
190,0.03157504,0.036564212,0.011371453
191,0.09881018,0.030002711,0.015846979
192,0.057803296,0.040732495,0.050515544
193,0.21034604,0.04557787,0.028609136
194,0.1379634,0.0766994,0.012027162
195,0.07904038,0.114219785,0.092475794
196,0.0511437,0.15617913,0.032100756
197,0.025674783,0.099750474,0.039648496
198,0.01934204,0.11336982,0.0304239
199,0.029384796,0.07095552,0.03772287
200,0.10293577,0.042973153,0.07299415
201,0.07185261,0.051995303,0.0539214
202,0.074422106,0.044183712,0.036717523
203,0.054586247,0.04797384,0.04529567
204,0.029947652,0.040654667,0.020153392
205,0.056228712,0.08310608,0.06111729
206,0.029711863,0.20068577,0.06431402
207,0.014949306,0.110452384,0.06583852
208,0.013042884,0.077489756,0.09596409
209,0.022485554,0.043090865,0.04461938
210,0.06339996,0.036465548,0.015194105
211,0.073212385,0.05561067,0.025311694
212,0.04968032,0.06581703,0.03904751
213,0.027953278,0.0458108,0.102084026
214,0.067190975,0.21121961,0.013767453
215,0.03947365,0.122992426,0.060051516
216,0.03140016,0.08196251,0.035509635
217,0.040861063,0.057169013,0.24000357
218,0.020712737,0.038866434,0.01562257
219,0.026586287,0.062112417,0.045233972
220,0.015068341,0.038823105,0.01861525
221,0.007719017,0.10835002,0.09079777
222,0.01700098,0.06650783,0.08773546
223,0.029305477,0.039014503,0.035648644
224,0.028464295,0.038440548,0.018156102
225,0.015029542,0.068790145,0.063161366
226,0.01086504,0.042286716,0.017419128
227,0.015230632,0.084099635,0.0176034
228,0.010163428,0.052837763,0.021233987
229,0.020880897,0.042631373,0.014244603
230,0.012811048,0.042115584,0.021739718
231,0.02430896,0.03810391,0.016159613
232,0.02672458,0.025836656,0.014103416
233,0.013433438,0.045113076,0.022538088
234,0.0068243407,0.054845672,0.06469758
