,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t)
10,0.016610345,0.23157,0.15568611,0.00036492132,0.14107713,0.58054423,0.34089294,0.16031781,0.39028928,0.64111865,0.2283937,0.23224062,0.08515003,0.002337703,0.21166933
11,0.012561283,0.09778343,0.120918415,0.0037657863,0.08089919,0.5589308,0.4022552,0.1240391,0.42645806,0.7458842,0.36583626,0.27416426,0.12411134,0.03097289,0.2449213
12,0.015489341,0.064459935,0.13101509,0.025132466,0.15351942,0.62628454,0.39306587,0.19388223,0.4316623,0.66748494,0.32453945,0.1718158,0.12255107,0.003037715,0.20956345
13,0.10910947,0.10609412,0.12860335,0.0028756121,0.103944615,0.57011575,0.37228772,0.17704572,0.4195912,0.70591766,0.32767677,0.3517275,0.13096936,0.00019847274,0.17979169
14,0.09939206,0.087085485,0.094566345,0.0055897017,0.102898315,0.67677873,0.4010653,0.2248505,0.5332124,0.68147534,0.32483768,0.2068155,0.09936925,0.016221214,0.29894117
15,0.01358832,0.051012233,0.15029693,0.022707807,0.11382149,0.6300362,0.4774593,0.26863396,0.49472004,0.7826721,0.34000468,0.21066654,0.2630487,0.00018276773,0.18605809
16,0.0012948683,0.0845238,0.13736972,0.00018062492,0.18859038,0.69922596,0.46044517,0.18598875,0.47503918,0.8024228,0.3737928,0.23532389,0.11156353,0.0009262887,0.22142072
17,0.00091124163,0.06977414,0.2706571,0.019021181,0.093044214,0.688578,0.49240702,0.19060999,0.4984809,0.78907025,0.34963697,0.23363757,0.16412356,0.03688018,0.20674315
18,0.031121619,0.14309032,0.10495033,0.0069162142,0.09669326,0.7419906,0.4365182,0.21192142,0.47392395,0.8783878,0.39238253,0.27795982,0.10057717,0.023376172,0.33702552
19,0.022059806,0.052536007,0.16904387,0.0074804467,0.10915078,0.7972932,0.5076646,0.21541351,0.58446014,0.8393482,0.45968106,0.27557796,0.1890911,0.14030957,0.2780821
20,0.070203386,0.09003781,0.15880911,0.0047744797,0.22783095,0.825581,0.5247367,0.27228907,0.61747515,0.96833265,0.39137864,0.27382717,0.12444143,0.040207043,0.24896039
21,0.02024544,0.085069835,0.13234696,0.0058850404,0.17942706,0.85696495,0.47782,0.2915333,0.6543808,0.9640021,0.391882,0.26184493,0.24354605,0.055835046,0.27333343
22,0.046904363,0.070907705,0.16801147,4.4516422e-05,0.1507958,0.8888216,0.52386385,0.20608963,0.5934002,0.9600917,0.38860786,0.25827014,0.1772452,6.1007653e-05,0.24647054
