,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t),x25(t),x26(t),x27(t),x28(t),x29(t),x30(t),x31(t),x32(t),x33(t),x34(t)
17,0.12358631,-0.028830666,-0.020035401,-0.08445779,0.0880266,0.0337599,0.13055882,0.024963386,-0.02474878,-0.033462368,0.13419266,-0.06869786,0.15270953,0.080279246,0.11111505,0.117930144,0.020975277,-0.020533778,-0.04801515,0.019705039,0.15512279,-0.026198994,0.014944901,0.18960693,0.07959201,-0.10550704,0.10691963,0.10450778,0.113444224,-0.019617958,0.09639062,-0.09341611,0.14363769,-0.11701081,0.06848675
18,0.10877177,-0.07806508,-0.01828434,-0.1450249,0.15571755,0.017578939,0.12645294,0.015508038,0.06684106,0.013945933,0.0020051012,0.00012278557,0.08470835,0.05579778,-0.0011675102,0.052741405,0.033813834,0.061506674,-0.06731762,0.025419177,0.20864545,0.17595066,0.07465398,0.11811421,-0.016567895,-0.082116805,0.12938944,-0.010713841,-0.032201443,-0.06713666,0.20442128,-0.18027891,0.17185336,-0.03048589,0.012864977
19,0.0052097575,0.00895299,-0.015010614,-0.12802854,0.1806782,0.01205188,0.017065866,-0.010333872,-0.06767363,0.046613008,0.09730021,-0.05868965,0.19756198,0.01320331,0.11831173,0.041862354,0.01582392,0.13604087,-0.038440067,-0.037076566,0.24566153,0.07839493,0.04517665,0.1935941,0.0072110076,-0.042882346,0.011371673,-0.04537295,0.12014214,-0.015830684,0.08006659,-0.068537965,0.18081503,-0.054435488,-0.052407496
20,-0.015368176,-0.03651205,-0.056815617,-0.074117616,0.17161247,0.05494457,0.14818695,-0.005486004,0.06844304,0.09732175,-0.05074014,0.1711334,0.016553497,0.039221488,-0.013535051,0.01947179,0.066805534,0.054959893,0.1462233,-0.057591148,0.2286212,0.03712301,0.07094801,0.20717107,0.02338275,-0.016108979,0.06776837,-0.0236739,0.14745153,-0.0062509794,0.18960692,-0.15446916,0.078520425,0.05775199,-0.05400779
21,0.019997291,0.1260016,-0.003465509,0.034787342,0.2791754,0.124383815,0.09016804,-0.0021741048,0.00925642,0.2146402,0.005833816,-0.044073753,0.012742186,-0.12710968,0.06272559,0.037567876,0.014100617,0.22561206,0.0008357358,0.09701016,0.17201985,-0.06494611,0.03303328,-0.057627443,0.05424237,0.0933743,0.036752313,-0.113331296,0.121378586,0.021173783,0.020135364,0.06940118,0.12051473,0.077222236,0.05551064
22,-0.03340333,0.07237999,-0.13893336,0.029802304,0.1303464,0.081155114,0.17607194,0.018020388,0.097468644,0.1982289,0.06954041,-0.0450041,-0.066906475,0.01705606,0.04343014,-0.010653067,0.0721105,0.099550374,0.055504333,-0.028871944,0.11192058,0.016776744,0.06351642,0.020855367,0.10735485,0.08641537,0.1329377,-0.08663862,0.09758386,0.04071427,0.08310901,0.104647756,-0.114099346,0.054938253,0.12037147
23,-0.02757246,0.058363095,-0.067061126,0.07119346,0.0025702273,0.044031687,0.43735647,0.013624672,0.122269146,0.10478283,0.037531544,-0.08803566,-0.032591823,0.1137743,-0.0072341063,0.06515777,0.07351434,0.16772082,0.031779505,0.01378317,0.11370686,-0.105534494,0.025846057,-0.008859027,0.10244105,0.1339438,0.22917709,0.06809758,0.11173541,0.054909606,-0.044494323,0.031301826,-0.05526732,-0.0042924806,0.065859966
24,0.13892537,0.070226975,-0.06744201,0.070529096,0.04948812,0.06521759,0.1087074,0.013209018,0.056256264,0.040866584,0.113397405,-0.18137717,-0.017307252,-0.06826692,-0.076652154,0.14562182,0.11038013,0.06313286,0.041256275,-0.025567718,0.006924242,-0.017136909,-0.01802941,-0.0984101,0.06673834,0.05680263,0.31208017,-0.0425681,-0.008134551,-0.0027523802,0.11828573,0.18963985,-0.08128157,0.05262559,0.25894645
25,-0.012597221,0.048356913,0.02264669,0.024125483,-0.0065332167,0.1533057,0.0450624,0.024888553,0.11716102,0.054355577,0.09163119,-0.053012412,-0.007854251,0.028862745,0.11716294,0.025391009,-0.0014262958,0.033543233,-0.017886627,-0.07858909,-0.06348236,-0.06756929,0.077279925,-0.05315176,0.025567882,0.0081342645,0.09193332,0.06720172,0.013991867,-0.0607092,-0.072303034,0.07350946,-0.003145475,-0.04157877,0.13156386
26,0.05669301,-0.011275528,-0.024476733,0.017878907,-0.025836177,0.07693566,0.14903003,0.004541545,0.037786372,-0.037472606,0.035456814,-0.022200912,0.0024182124,0.043873996,-0.04299421,-0.014177749,0.04318772,0.1299654,0.022950307,0.032397363,-0.02301776,-0.061911404,0.023819664,0.0029829,0.03216759,0.013709463,0.113835834,0.14636514,-0.0016549639,0.115875974,0.06489962,-0.041997,-0.053254467,-0.062126253,0.034009453
