,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t)
16,-0.023768581,0.25545534,0.1880842,0.16816518,-0.090711944,-0.05561178,-0.079866834,0.063802116,-0.031886987,-0.0883347,-0.08886228,-0.040737957,-0.11200425,0.061397538,0.22310078,-0.007457886,0.2708073,0.17137866
17,0.06867375,-0.1753976,0.00051814737,-0.07343299,-0.06277842,-0.1505177,-0.109807946,-0.075687684,-0.2966783,0.14922999,0.117806904,-0.11803666,-0.03822824,0.05935522,0.13985534,0.039588623,-0.11405155,-0.08327447
18,-0.0029806271,0.16832653,0.09724359,0.39324087,0.012497734,-0.030020684,-0.011346515,-0.04169485,0.05895139,-0.024010247,-0.1419583,0.06706765,-0.16566828,-0.20609038,0.031904,0.09343785,0.19646685,0.038952492
19,0.20416571,-0.13241896,0.09197509,-0.18292832,-0.07226482,-0.012223424,0.11557627,0.0103972275,-0.023999404,0.1400708,-0.023254892,0.045274515,-0.037370887,-0.022337511,-0.12475429,0.08675385,-0.026480468,-0.11261224
20,-0.105465345,0.10232885,-0.07696113,0.10786541,0.13567689,-0.02413189,0.0020278217,-0.03200339,-0.030351508,0.015337065,0.04754811,0.019459156,0.03688297,-0.053570673,-0.09638466,-0.04647259,0.076258846,0.06933342
21,0.17563474,-0.10656588,0.16713811,-0.13889828,-0.045190893,0.07415311,0.09457426,0.09194099,0.07238987,0.1020653,0.018871382,0.08383828,-0.015111422,0.019930612,-0.074808456,0.30391604,0.15119828,0.07885194
22,-0.07010967,-0.029707422,-0.24416775,0.006320104,0.16748455,-0.115037605,-0.08256091,-0.06958162,-0.13168354,0.17478487,0.15224138,-0.021284297,0.20729993,0.09800425,-0.06002375,-0.105767526,-0.014229858,-0.067746945
23,0.09801443,0.048457615,0.32546887,-0.060520835,-0.039476454,0.15368702,0.15343702,0.06961445,0.18438594,0.05926894,-0.0691291,0.07658665,-0.06095455,0.051899593,0.15229051,0.05644328,0.29030144,0.11562452
24,-0.04202818,-0.10297822,-0.095556155,-0.07201454,0.09980885,-0.03496129,-0.22297175,-0.10372363,-0.33526498,0.18898575,0.22999103,-0.17358033,0.17923263,0.12469809,0.11222784,-0.0026243702,-0.3065714,-0.15010336
25,0.01714441,0.42912576,0.22870329,0.12106303,0.04730542,0.08185842,-0.0661798,0.050692532,0.054473806,-0.218283,-0.12517884,0.023123246,-0.23820171,0.012677325,0.24108411,0.10783726,0.11186156,0.2812285
26,0.08853766,-0.2893702,0.01484476,-0.21787642,-0.09144573,-0.07672712,-0.14985791,0.14446774,-0.3580221,0.0321391,-0.012092955,-0.13975847,-0.10114359,-0.0073197708,0.083950736,0.366871,-0.23025416,-0.1563242
27,-0.14769365,0.36309916,-0.1191742,0.38511068,0.068278015,-0.13818374,-0.032545924,-0.09320364,0.091249816,-0.079659246,-0.13632776,0.043249376,-0.0915848,-0.16618101,0.052367557,-0.13414639,0.20852055,0.16340439
28,0.23944508,-0.30670404,0.17846999,-0.28367674,-0.10143192,0.054627486,0.2592363,0.09877182,0.044621572,0.16801573,-0.1075569,0.027420029,-0.082939476,-0.029448222,-0.112621844,0.19676717,0.093119286,-0.06958154
29,-0.19248888,0.09935041,-0.019422844,0.1583482,0.23686044,-0.00065702945,-0.048424684,-0.13333777,-0.071086764,0.11376499,0.1497448,-0.01146181,0.19443512,-0.03174631,-0.064250454,-0.23404483,0.017279176,0.020426348
30,0.34210873,-0.01219118,0.37576866,-0.22150837,-0.13861239,0.21597342,0.020607324,0.12499061,0.035812676,0.10747256,0.073851794,0.07652915,-0.027931226,0.16500103,0.09648371,0.14990576,0.02077507,0.080726
31,-0.15405159,0.051444657,-0.2464421,0.04160898,0.13360347,-0.15888861,-0.33091703,-0.035550456,-0.42204207,-0.013289086,0.25607717,-0.16760506,0.1309987,0.1361499,0.04189466,0.027159117,-0.26303613,-0.029037066
32,0.118028164,0.1618584,0.32553473,0.12231296,-0.20531322,0.036353,0.08229102,0.11903122,0.20457463,-0.1618531,-0.17774463,0.10220066,-0.25377154,-0.07137756,0.10493353,0.20013249,0.28156185,0.20196755
