,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t)
24,0.026608873,0.13678013,0.15026574,0.2768685,0.13273692,0.27258134,0.007875781,0.24913822,-0.018356862,-0.054328058,-0.0039129406,-0.032169625,-0.062233333,0.09757057,-0.27241814,0.28206384,0.11290455,0.12215897,0.020413663,0.10142248,-0.4184784,0.15748231,0.013026875,-0.046696313,-0.08338683
25,-0.13721289,0.102834895,0.026440004,0.08024145,0.06766329,0.23760183,0.012940176,0.077856444,0.11777242,0.018130526,-0.100118026,0.1728493,0.33659053,-0.051682804,-0.10627325,0.10800228,0.0656104,0.23315503,0.02622033,0.13971366,-0.17598896,0.07315706,0.19095927,0.038424134,0.009167905
26,-0.041092012,0.20043203,-0.096796066,0.090874344,0.04786655,0.083253704,0.12676252,0.017302578,0.09570348,0.18010876,-0.19502689,-0.041630145,0.24918659,-0.02537764,-0.008920491,0.032972123,0.070965156,-0.10322255,-0.19224961,0.16322936,-0.09390542,0.109334625,0.029204462,0.113173425,0.15471482
27,0.11352627,-0.05632458,-0.1739274,0.091180354,0.09844729,-0.059777968,0.26500356,-0.24067943,0.041169167,0.072199404,-0.31642386,0.08356119,0.20865826,0.11396994,0.1389721,0.038289778,0.3001253,-0.28347906,0.1771589,0.24728777,0.19775489,-0.029067159,0.1898656,0.019496983,0.15340354
28,0.15004927,0.109655604,0.05030886,-0.058786266,0.11091845,-0.065128624,0.21735649,0.13230632,0.037359204,-0.15096697,0.02005509,0.07485311,0.07606588,0.064671926,0.009756676,0.34695733,0.07450042,-0.022077546,0.20123726,0.304493,0.022456529,-0.17448364,0.21940605,-0.23104888,-0.17373714
29,-0.024787817,0.33268148,0.21978295,0.13864248,0.17868657,0.21711482,-0.074694715,0.25927004,0.08988032,-0.020035628,0.08270194,-0.04300835,-0.061177947,0.041005976,-0.2306153,0.27849442,0.16732603,0.27429488,-0.0047040433,0.26249415,-0.3675267,0.13171716,0.011161905,-0.14897326,-0.2527978
30,-0.12138738,0.054845456,-0.15280475,0.38762826,0.09815911,0.31175914,-0.075562924,-0.007295301,0.006428387,0.11568513,-0.3154577,-0.12142793,0.30509102,0.022496104,-0.34271228,0.20847608,0.16106583,0.17223251,-0.117321804,0.09052404,-0.20788099,0.27749088,0.08378286,0.16662523,0.10096461
31,-0.059913546,-0.02379521,0.06617153,-0.038697224,0.009072006,-0.06558917,0.24768202,-0.16486812,0.16813152,0.05739436,-0.23996441,-0.0385385,0.5826942,-0.11088373,0.07482661,0.11500258,-0.09313138,-0.00970887,0.10566694,0.28791907,0.26910183,-0.021897227,0.25765535,0.15690537,0.094400704
32,0.082620494,0.054505367,-0.044180103,0.11717184,0.13814574,-0.030431405,0.3103457,0.063290134,0.0969234,0.12617953,-0.053062655,-0.12165734,0.010965029,0.12246552,0.18418792,0.12898238,0.0068003573,-0.2134889,0.08117008,0.3255067,0.15826206,0.076202355,0.116894476,0.13483708,0.09756201
33,0.18343842,-0.031164736,-7.569417e-05,0.18047856,0.049959622,-0.061347954,0.13642474,-0.0057900148,0.015920099,-0.061470747,-0.014187123,0.020521494,0.035550125,0.11527593,0.107432835,0.06869935,0.07927038,-0.29663157,0.3914546,0.35977426,-0.10041858,-0.010173013,0.24537492,0.065801345,0.022558661
34,0.05574187,0.059826452,0.2992316,0.10382414,0.09925358,-0.011391754,0.13803151,0.36339664,0.011374804,-0.09686523,0.19774315,0.33460844,-0.10848896,0.14283401,0.01853276,0.18014552,0.097082,-0.092914104,0.2689584,0.31294486,-0.21326813,-0.21641165,0.16822942,-0.11699458,-0.0752628
35,-0.035798647,0.4086984,0.065997764,0.23295432,0.20058422,0.28334305,-0.06026884,0.36722717,0.039811756,-0.029754452,0.11883181,0.119060665,-0.10332543,0.07509002,-0.15788789,-0.0077514485,0.22566062,0.12384922,-0.16111925,0.0662083,-0.6678706,-0.015021155,-0.072461545,-0.23625441,-0.029967092
